OrderID,ItemType,SalesChannel,OrderPriority,City,State,Type,UnitsSold,UnitCost,UnitSellPrice,TotalRevenue,TotalCost,TotalProfit
127468717,Personal Care,Online,H,Siliguri,West Bengal,Municipal Corporation / Corporation.,9681,56.67,81.73,791228.13,548622.27,242605.86
770478332,Clothes,Online,L,Nashik,Maharashtra,Municipal Corporation / Corporation,515,35.84,109.28,56279.2,18457.6,37821.6
430390107,Cereal,Online,H,Faridabad,Haryana,Municipal Corporation / Corporation.,852,117.11,205.7,175256.4,99777.72,75478.68
397877871,Beverages,Online,M,Patiala,Punjab,Municipal Corporation / Corporation.,9759,31.79,47.45,463064.55,310238.61,152825.94
683927953,Beverages,Offline,M,Meerut,Uttar Pradesh,Municipal Corporation / Corporation,8334,31.79,47.45,395448.3,264937.86,130510.44
469839179,Fruits,Offline,M,Kalyan-Dombivali,Maharashtra,Municipal Corporation / Corporation.,4709,6.92,9.33,43934.97,32586.28,11348.69
357222878,Meat,Offline,H,Vasai-Virar,Maharashtra,Municipal Corporation / Corporation.,9043,364.69,421.89,3815151.27,3297891.67,517259.6
118002879,Personal Care,Online,C,Varanasi,Uttar Pradesh,Municipal Corporation / Corporation.,8529,56.67,81.73,697075.17,483338.43,213736.74
944415509,Beverages,Offline,C,Srinagar,Jammu and Kashmir,Urban Agglomeration,2391,31.79,47.45,113452.95,76009.89,37443.06
499009597,Office Supplies,Online,H,Dhanbad,Jharkhand,Municipal Corporation / Corporation,6884,524.96,651.21,4482929.64,3613824.64,869105
564646470,Fruits,Online,L,Jodhpur,Rajasthan,Municipal Corporation / Corporation,293,6.92,9.33,2733.69,2027.56,706.13
294499957,Baby Food,Offline,M,Amritsar,Punjab,Municipal Corporation / Corporation.,7937,159.42,255.28,2026157.36,1265316.54,760840.82
262056386,Beverages,Offline,L,Raipur,Chhattisgarh,Municipal Committee,7163,31.79,47.45,339884.35,227711.77,112172.58
211114585,Office Supplies,Online,M,Allahabad,Uttar Pradesh,Municipality.,2352,524.96,651.21,1531645.92,1234705.92,296940
405785882,Office Supplies,Offline,H,Coimbatore,Tamil Nadu,Municipal Corporation / Corporation,9915,524.96,651.21,6456747.15,5204978.4,1251768.75
280494105,Vegetables,Offline,M,Jabalpur,Madhya Pradesh,Municipal Corporation / Corporation,3294,90.93,154.06,507473.64,299523.42,207950.22
689975583,Baby Food,Online,L,Gwalior,Madhya Pradesh,Municipal Corporation / Corporation,7963,159.42,255.28,2032794.64,1269461.46,763333.18
759279143,Office Supplies,Online,L,Vijayawada,Andhra Pradesh,Municipal Corporation / Corporation.,6426,524.96,651.21,4184675.46,3373392.96,811282.5
133766114,Office Supplies,Offline,C,Madurai,Tamil Nadu,Municipal Corporation / Corporation,3221,524.96,651.21,2097547.41,1690896.16,406651.25
329110324,Beverages,Online,M,Guwahati,Assam,Municipal Corporation / Corporation,9913,31.79,47.45,470371.85,315134.27,155237.58
681298100,Meat,Online,L,Chandigarh,Chandigarh,Municipal Corporation / Corporation.,103,364.69,421.89,43454.67,37563.07,5891.6
596628272,Snacks,Offline,L,Hubli-Dharwad,Karnataka,Municipal Corporation / Corporation,4419,97.44,152.58,674251.02,430587.36,243663.66
901712167,Office Supplies,Offline,L,Amroha,Uttar Pradesh,Nagar Panchayat.,5523,524.96,651.21,3596632.83,2899354.08,697278.75
693473613,Beverages,Online,M,Moradabad,Uttar Pradesh,Municipal Corporation / Corporation,3107,31.79,47.45,147427.15,98771.53,48655.62
489148938,Meat,Online,C,Gurgaon,Haryana,Municipal Corporation / Corporation.,8896,364.69,421.89,3753133.44,3244282.24,508851.2
876286971,Household,Online,L,Aligarh,Uttar Pradesh,Municipalityunicipal Corporation / Corporation.,1643,502.54,668.27,1097967.61,825673.22,272294.39
262749040,Personal Care,Offline,H,Solapur,Maharashtra,Municipal Corporation / Corporation.,2135,56.67,81.73,174493.55,120990.45,53503.1
726708972,Meat,Online,H,Ranchi,Jharkhand,Urban Agglomeration,8189,364.69,421.89,3454857.21,2986446.41,468410.8
366653096,Vegetables,Online,L,Jalandhar,Punjab,Municipal Corporation / Corporation,9654,90.93,154.06,1487295.24,877838.22,609457.02
951380240,Vegetables,Online,M,Tiruchirappalli,Tamil Nadu,Municipal Corporation / Corporation.,3410,90.93,154.06,525344.6,310071.3,215273.3
270001733,Cosmetics,Online,M,Bhubaneswar,Odisha,Municipal Corporation / Corporation,8368,263.33,437.2,3658489.6,2203545.44,1454944.16
681941401,Beverages,Online,C,Salem,Tamil Nadu,Municipal Corporation / Corporation,470,31.79,47.45,22301.5,14941.3,7360.2
566935575,Fruits,Online,L,Warangal,Telangana,Municipal Corporation / Corporation.,7690,6.92,9.33,71747.7,53214.8,18532.9
175033080,Snacks,Offline,M,Mira-Bhayandar,Maharashtra,Municipal Corporation / Corporation,5033,97.44,152.58,767935.14,490415.52,277519.62
276595246,Office Supplies,Offline,L,Thiruvananthapuram,Kerala,Municipal Corporation / Corporation.,9535,524.96,651.21,6209287.35,5005493.6,1203793.75
812295901,Office Supplies,Online,M,Bhiwandi,Maharashtra,Municipal Corporation / Corporation.,5263,524.96,651.21,3427318.23,2762864.48,664453.75
443121373,Vegetables,Offline,C,Saharanpur,Uttar Pradesh,Municipal Corporation / Corporation,8316,90.93,154.06,1281162.96,756173.88,524989.08
600370490,Personal Care,Offline,H,Guntur,Andhra Pradesh,Municipal Corporation / Corporation,1824,56.67,81.73,149075.52,103366.08,45709.44
535654580,Office Supplies,Online,L,Amravati,Maharashtra,Municipal Corporation / Corporation,949,524.96,651.21,617998.29,498187.04,119811.25
470897471,Cosmetics,Offline,H,Bikaner,Rajasthan,Municipal Corporation / Corporation.,7881,263.33,437.2,3445573.2,2075303.73,1370269.47
248335492,Beverages,Offline,L,Noida,Uttar Pradesh,Census town,6846,31.79,47.45,324842.7,217634.34,107208.36
680517470,Clothes,Offline,C,Jamshedpur,Jharkhand,Notified area committee / Notified Area Council ,9097,35.84,109.28,994120.16,326036.48,668083.68
400304734,Personal Care,Online,M,Bhilai Nagar,Chhattisgarh,Municipal Corporation / Corporation,7921,56.67,81.73,647383.33,448883.07,198500.26
810871112,Office Supplies,Offline,C,Cuttack,Odisha,Municipal Corporation / Corporation,3636,524.96,651.21,2367799.56,1908754.56,459045
235702931,Cereal,Online,L,Kochi,Kerala,Municipal Corporation / Corporation,8590,117.11,205.7,1766963,1005974.9,760988.1
668599021,Office Supplies,Offline,C,Udaipur,Rajasthan,Municipal Corporation / Corporation,2163,524.96,651.21,1408567.23,1135488.48,273078.75
123670709,Baby Food,Online,M,Bhavnagar,Gujarat,Municipal Corporation / Corporation,5766,159.42,255.28,1471944.48,919215.72,552728.76
285341823,Office Supplies,Online,L,Dehradun,Uttarakhand,Municipal Corporation / Corporation,7841,524.96,651.21,5106137.61,4116211.36,989926.25
658348691,Fruits,Online,H,Asansol,West Bengal,Municipal Corporation / Corporation.,8862,6.92,9.33,82682.46,61325.04,21357.42
817740142,Baby Food,Offline,L,Nanded-Waghala,Maharashtra,Municipal Corporation / Corporation.,6335,159.42,255.28,1617198.8,1009925.7,607273.1
858877503,Beverages,Offline,H,Ajmer,Rajasthan,Municipal Corporation / Corporation.,9794,31.79,47.45,464725.3,311351.26,153374.04
947434604,Vegetables,Offline,M,Jamnagar,Gujarat,Municipal Corporation / Corporation,5808,90.93,154.06,894780.48,528121.44,366659.04
869397771,Meat,Offline,H,Ujjain,Madhya Pradesh,Municipal Corporation / Corporation.,2975,364.69,421.89,1255122.75,1084952.75,170170
481065833,Personal Care,Offline,L,Sangli,Maharashtra,Urban Agglomeration,6925,56.67,81.73,565980.25,392439.75,173540.5
159050118,Meat,Online,C,Loni,Uttar Pradesh,Nagar Panchayat,5319,364.69,421.89,2244032.91,1939786.11,304246.8
350274455,Office Supplies,Online,M,Jhansi,Uttar Pradesh,Municipal Corporation / Corporation.,2850,524.96,651.21,1855948.5,1496136,359812.5
221975171,Cereal,Online,L,Pondicherry,Puducherry,Urban Agglomeration,6241,117.11,205.7,1283773.7,730883.51,552890.19
811701095,Office Supplies,Online,C,Nellore,Andhra Pradesh,Municipal Corporation / Corporation,9247,524.96,651.21,6021738.87,4854305.12,1167433.75
977313554,Cereal,Online,L,Jammu,Jammu and Kashmir,Municipal Committee,7653,117.11,205.7,1574222.1,896242.83,677979.27
546986377,Snacks,Offline,L,Belagavi,Karnataka,Municipal Corporation / Corporation.,4279,97.44,152.58,652889.82,416945.76,235944.06
769205892,Fruits,Offline,L,Raurkela,Odisha,Municipal Corporation / Corporation,3972,6.92,9.33,37058.76,27486.24,9572.52
262770926,Clothes,Offline,M,Mangaluru,Karnataka,Municipal Corporation / Corporation,8611,35.84,109.28,941010.08,308618.24,632391.84
866792809,Snacks,Online,M,Tirunelveli,Tamil Nadu,Municipal Corporation / Corporation.,2109,97.44,152.58,321791.22,205500.96,116290.26
890695369,Beverages,Offline,C,Malegaon,Maharashtra,Municipal Corporation / Corporation,5408,31.79,47.45,256609.6,171920.32,84689.28
964214932,Cereal,Offline,M,Gaya,Bihar,Municipal Corporation / Corporation.,1480,117.11,205.7,304436,173322.8,131113.2
887400329,Snacks,Online,C,Tiruppur,Tamil Nadu,Municipal Corporation / Corporation,332,97.44,152.58,50656.56,32350.08,18306.48
980612885,Beverages,Offline,M,Davanagere,Karnataka,Municipal Corporation / Corporation.,3999,31.79,47.45,189752.55,127128.21,62624.34
734526431,Clothes,Offline,M,Kozhikode,Kerala,Municipal Corporation / Corporation,1549,35.84,109.28,169274.72,55516.16,113758.56
160127294,Baby Food,Online,L,Akola,Maharashtra,Municipal Corporation / Corporation.,4079,159.42,255.28,1041287.12,650274.18,391012.94
238714301,Clothes,Offline,L,Kurnool,Andhra Pradesh,Municipal Corporation / Corporation,9721,35.84,109.28,1062310.88,348400.64,713910.24
671898782,Household,Online,M,Bokaro Steel City,Jharkhand,Census town,8635,502.54,668.27,5770511.45,4339432.9,1431078.55
331604564,Personal Care,Offline,H,Rajahmundry,Andhra Pradesh,Urban Agglomeration,8014,56.67,81.73,654984.22,454153.38,200830.84
410067975,Cereal,Online,M,Ballari,Karnataka,Municipal Corporation / Corporation.,7081,117.11,205.7,1456561.7,829255.91,627305.79
369837844,Snacks,Offline,L,Agartala,Tripura,Municipal Corporation / Corporation.,2091,97.44,152.58,319044.78,203747.04,115297.74
193775498,Fruits,Online,L,Bhagalpur,Bihar,Municipal Corporation / Corporation.,1331,6.92,9.33,12418.23,9210.52,3207.71
835054767,Clothes,Online,M,Latur,Maharashtra,Municipal Council,117,35.84,109.28,12785.76,4193.28,8592.48
167161977,Household,Offline,C,Dhule,Maharashtra,Municipal Corporation / Corporation,5798,502.54,668.27,3874629.46,2913726.92,960902.54
633895957,Vegetables,Offline,C,Korba,Chhattisgarh,Municipal Corporation / Corporation.,2755,90.93,154.06,424435.3,250512.15,173923.15
699368035,Clothes,Offline,C,Bhilwara,Rajasthan,Municipality,7398,35.84,109.28,808453.44,265144.32,543309.12
698002040,Vegetables,Offline,L,Brahmapur,Odisha,Municipal Corporation / Corporation,3170,90.93,154.06,488370.2,288248.1,200122.1
584534299,Snacks,Offline,H,Mysore,Karnatka,Municipal Corporation / Corporation.,5544,97.44,152.58,845903.52,540207.36,305696.16
384013640,Vegetables,Online,L,Muzaffarpur,Bihar,Municipal Corporation / Corporation.,7025,90.93,154.06,1082271.5,638783.25,443488.25
641801393,Personal Care,Online,M,Ahmednagar,Maharashtra,Municipal Corporation / Corporation.,2149,56.67,81.73,175637.77,121783.83,53853.94
173571383,Personal Care,Online,M,Kollam,Kerala,Municipal Corporation / Corporation,2484,56.67,81.73,203017.32,140768.28,62249.04
115309941,Snacks,Offline,H,Raghunathganj,West Bengal,Municipality,1629,97.44,152.58,248552.82,158729.76,89823.06
773315894,Cosmetics,Offline,L,Bilaspur,Chhattisgarh,Municipal Corporation / Corporation,213,263.33,437.2,93123.6,56089.29,37034.31
274200570,Beverages,Online,M,Shahjahanpur,Uttar Pradesh,Urban Agglomeration,897,31.79,47.45,42562.65,28515.63,14047.02
414887797,Clothes,Offline,M,Thrissur,Kerala,Municipal Corporation / Corporation.,3374,35.84,109.28,368710.72,120924.16,247786.56
812613904,Beverages,Offline,L,Alwar,Rajasthan,Municipal Council,9367,31.79,47.45,444464.15,297776.93,146687.22
254927718,Baby Food,Online,H,Kakinada,Andhra Pradesh,Municipal Corporation / Corporation,7632,159.42,255.28,1948296.96,1216693.44,731603.52
749690568,Beverages,Offline,M,Nizamabad,Telangana,Municipal Corporation / Corporation,8954,31.79,47.45,424867.3,284647.66,140219.64
775076282,Cereal,Offline,C,Sagar,Madhya Pradesh,Urban Agglomeration,1150,117.11,205.7,236555,134676.5,101878.5
229571187,Office Supplies,Online,H,Tumkur,Karnataka,City Municipal Council,4071,524.96,651.21,2651075.91,2137112.16,513963.75
881974112,Baby Food,Online,C,Hisar,Haryana,Municipal Council,4594,159.42,255.28,1172756.32,732375.48,440380.84
521396386,Snacks,Online,L,Rohtak,Haryana,Municipal Corporation / Corporation.,1632,97.44,152.58,249010.56,159022.08,89988.48
607261836,Household,Online,C,Panipat,Haryana,Municipal Council,1127,502.54,668.27,753140.29,566362.58,186777.71
419306790,Vegetables,Online,M,Darbhanga,Bihar,Municipal Corporation / Corporation.,1052,90.93,154.06,162071.12,95658.36,66412.76
207580077,Meat,Offline,H,Kharagpur,West Bengal,Municipality/Industrial Township,6413,364.69,421.89,2705580.57,2338756.97,366823.6
742443025,Snacks,Online,M,Aizawl,Mizoram,Notified Town,4245,97.44,152.58,647702.1,413632.8,234069.3
164569461,Snacks,Offline,M,Ichalkaranji,Maharashtra,Municipal Council,8615,97.44,152.58,1314476.7,839445.6,475031.1
734945714,Baby Food,Online,L,Tirupati,Andhra Pradesh,Municipal Corporation / Corporation.,5624,159.42,255.28,1435694.72,896578.08,539116.64
284870612,Clothes,Offline,C,Karnal,Haryana,Municipal Council,8399,35.84,109.28,917842.72,301020.16,616822.56
765955483,Fruits,Offline,M,Bathinda,Punjab,Municipal Corporation / Corporation,2104,6.92,9.33,19630.32,14559.68,5070.64
600124156,Snacks,Offline,H,Rampur,Uttar Pradesh,Municipal board,8929,97.44,152.58,1362386.82,870041.76,492345.06
529612958,Household,Offline,L,Shivamogga,Karnataka,City Municipal Council,3098,502.54,668.27,2070300.46,1556868.92,513431.54
466970717,Clothes,Offline,H,Ratlam,Madhya Pradesh,Urban Agglomeration,5867,35.84,109.28,641145.76,210273.28,430872.48
845058763,Cosmetics,Online,C,Modinagar,Uttar Pradesh,Municipality,522,263.33,437.2,228218.4,137458.26,90760.14
367050921,Snacks,Offline,L,Durg,Chhattisgarh,Municipal Corporation / Corporation,7379,97.44,152.58,1125887.82,719009.76,406878.06
956433522,Office Supplies,Online,L,Shillong,Meghalaya,Urban Agglomeration,8788,524.96,651.21,5722833.48,4613348.48,1109485
107005393,Beverages,Online,C,Imphal,Manipur,Municipal Council,4129,31.79,47.45,195921.05,131260.91,64660.14
332877862,Beverages,Offline,C,Hapur,Uttar Pradesh,Nagar Palika Parishad,4811,31.79,47.45,228281.95,152941.69,75340.26
618474757,Baby Food,Online,L,Ranipet,Tamil Nadu,Urban Agglomeration,9279,159.42,255.28,2368743.12,1479258.18,889484.94
468532407,Household,Online,M,Anantapur,Andhra Pradesh,Municipal Corporation / Corporation.,8006,502.54,668.27,5350169.62,4023335.24,1326834.38
358099639,Office Supplies,Offline,M,Arrah,Bihar,Municipal Corporation / Corporation.,8496,524.96,651.21,5532680.16,4460060.16,1072620
382537782,Household,Online,H,Karimnagar,Telangana,Municipal Corporation / Corporation,285,502.54,668.27,190456.95,143223.9,47233.05
707520663,Personal Care,Offline,H,Parbhani,Maharashtra,Municipal Council,9942,56.67,81.73,812559.66,563413.14,249146.52
219034612,Meat,Online,M,Etawah,Uttar Pradesh,Nagar Palika Parishad,6064,364.69,421.89,2558340.96,2211480.16,346860.8
573378455,Meat,Offline,M,Bharatpur,Rajasthan,Municipal Corporation / Corporation.,4281,364.69,421.89,1806111.09,1561237.89,244873.2
347163522,Personal Care,Online,H,Begusarai,Bihar,Municipal Corporation / Corporation.,2256,56.67,81.73,184382.88,127847.52,56535.36
887313640,Snacks,Offline,M,New Delhi,Delhi,Municipal Council,4679,97.44,152.58,713921.82,455921.76,258000.06
461065137,Cosmetics,Online,H,Chhapra,Bihar,Municipal Corporation / Corporation,8275,263.33,437.2,3617830,2179055.75,1438774.25
105966842,Fruits,Offline,H,Kadapa,Andhra Pradesh,Municipal Corporation / Corporation,6798,6.92,9.33,63425.34,47042.16,16383.18
479880082,Baby Food,Online,M,Ramagundam,Telangana,Municipal Corporation / Corporation,6035,159.42,255.28,1540614.8,962099.7,578515.1
510978686,Baby Food,Online,H,Pali,Rajasthan,Municipal Council,8803,159.42,255.28,2247229.84,1403374.26,843855.58
547748982,Snacks,Offline,C,Satna,Madhya Pradesh,Urban Agglomeration,9951,97.44,152.58,1518323.58,969625.44,548698.14
108989799,Cereal,Offline,M,Vizianagaram,Andhra Pradesh,Municipality,1358,117.11,205.7,279340.6,159035.38,120305.22
133812463,Cereal,Offline,M,Katihar,Bihar,Municipal Corporation / Corporation,6936,117.11,205.7,1426735.2,812274.96,614460.24
731640803,Fruits,Offline,L,Hardwar,Uttarakhand,Nagar Palika Parishad,7627,6.92,9.33,71159.91,52778.84,18381.07
732211148,Snacks,Offline,C,Sonipat,Haryana,Urban Agglomeration,6405,97.44,152.58,977274.9,624103.2,353171.7
835572326,Cereal,Online,M,Nagercoil,Tamil Nadu,Municipality,3274,117.11,205.7,673461.8,383418.14,290043.66
462085664,Baby Food,Offline,C,Thanjavur,Tamil Nadu,Municipality,271,159.42,255.28,69180.88,43202.82,25978.06
902424991,Clothes,Online,C,Murwara (Katni),Madhya Pradesh,Municipal Corporation / Corporation,6463,35.84,109.28,706276.64,231633.92,474642.72
367576634,Fruits,Offline,H,Naihati,West Bengal,Municipality,2949,6.92,9.33,27514.17,20407.08,7107.09
738839423,Meat,Offline,H,Sambhal,Uttar Pradesh,Nagar Palika Parishad,7859,364.69,421.89,3315633.51,2866098.71,449534.8
817824685,Baby Food,Online,C,Nadiad,Gujarat,Municipality,1353,159.42,255.28,345393.84,215695.26,129698.58
376456248,Snacks,Online,C,Yamunanagar,Haryana,Municipal Council,624,97.44,152.58,95209.92,60802.56,34407.36
606970441,Office Supplies,Online,H,English Bazar,West Bengal,Municipality,4897,524.96,651.21,3188975.37,2570729.12,618246.25
971916091,Meat,Offline,L,Eluru,Andhra Pradesh,Municipal Corporation / Corporation.,424,364.69,421.89,178881.36,154628.56,24252.8
554154527,Office Supplies,Offline,L,Munger,Bihar,Municipal Corporation / Corporation,5494,524.96,651.21,3577747.74,2884130.24,693617.5
306859576,Household,Online,L,Panchkula,Haryana,Municipal Council,5423,502.54,668.27,3624028.21,2725274.42,898753.79
803517568,Personal Care,Offline,L,Raayachuru,Karnataka,City Municipal Council,7559,56.67,81.73,617797.07,428368.53,189428.54
887927329,Office Supplies,Online,C,Panvel,Maharashtra,Municipal Council,6283,524.96,651.21,4091552.43,3298323.68,793228.75
824200189,Vegetables,Online,H,Deoghar,Jharkhand,Municipal Corporation / Corporation,8006,90.93,154.06,1233404.36,727985.58,505418.78
946759974,Office Supplies,Online,H,Ongole,Andhra Pradesh,Municipality,6170,524.96,651.21,4017965.7,3239003.2,778962.5
310343015,Clothes,Offline,H,Nandyal,Andhra Pradesh,Municipality,6249,35.84,109.28,682890.72,223964.16,458926.56
739998137,Vegetables,Online,C,Morena,Madhya Pradesh,Municipality,748,90.93,154.06,115236.88,68015.64,47221.24
981086671,Beverages,Online,H,Bhiwani,Haryana,Municipal Council,4203,31.79,47.45,199432.35,133613.37,65818.98
749282443,Office Supplies,Offline,L,Porbandar,Gujarat,Urban Agglomeration,8180,524.96,651.21,5326897.8,4294172.8,1032725
280571782,Office Supplies,Online,C,Palakkad,Kerala,Urban Agglomeration,6280,524.96,651.21,4089598.8,3296748.8,792850
781253516,Household,Online,C,Anand,Gujarat,Municipality,9131,502.54,668.27,6101973.37,4588692.74,1513280.63
377938973,Personal Care,Online,H,Purnia,Bihar,Municipal Corporation / Corporation.,9396,56.67,81.73,767935.08,532471.32,235463.76
867551982,Clothes,Offline,C,Baharampur,West Bengal,Municipality,6765,35.84,109.28,739279.2,242457.6,496821.6
967328870,Personal Care,Offline,C,Barmer,Rajasthan,Nagar Parishad,2964,56.67,81.73,242247.72,167969.88,74277.84
364818465,Office Supplies,Offline,C,Morvi,Gujarat,Municipality,6746,524.96,651.21,4393062.66,3541380.16,851682.5
167882096,Office Supplies,Online,C,Orai,Uttar Pradesh,Nagar Palika Parishad.,8898,524.96,651.21,5794466.58,4671094.08,1123372.5
654693591,Clothes,Online,H,Bahraich,Uttar Pradesh,Nagar Palika Parishad,7237,35.84,109.28,790859.36,259374.08,531485.28
823739278,Personal Care,Offline,H,Sikar,Rajasthan,Urban Agglomeration,1612,56.67,81.73,131748.76,91352.04,40396.72
643817985,Beverages,Offline,L,Vellore,Tamil Nadu,Municipal Corporation / Corporation.,8904,31.79,47.45,422494.8,283058.16,139436.64
604041039,Personal Care,Offline,H,Singrauli,Madhya Pradesh,Municipal Corporation / Corporation.,8022,56.67,81.73,655638.06,454606.74,201031.32
363832271,Personal Care,Online,H,Khammam,Telangana,Municipal Corporation / Corporation,4909,56.67,81.73,401212.57,278193.03,123019.54
102928006,Personal Care,Online,L,Mahesana,Gujarat,Municipality,7539,56.67,81.73,616162.47,427235.13,188927.34
971377074,Office Supplies,Offline,M,Silchar,Assam,Urban Agglomeration,917,524.96,651.21,597159.57,481388.32,115771.25
139540803,Meat,Online,L,Sambalpur,Odisha,Municipal Corporation / Corporation.,2079,364.69,421.89,877109.31,758190.51,118918.8
248093020,Meat,Offline,M,Rewa,Madhya Pradesh,Municipal Corporation / Corporation.,5093,364.69,421.89,2148685.77,1857366.17,291319.6
858020055,Snacks,Offline,L,Unnao,Uttar Pradesh,Nagar Palika Parishad.,6056,97.44,152.58,924024.48,590096.64,333927.84
700620734,Baby Food,Offline,H,Hugli-Chinsurah,West Bengal,Municipality,8099,159.42,255.28,2067512.72,1291142.58,776370.14
827506387,Cosmetics,Offline,L,Raiganj,West Bengal,Urban Agglomeration,6384,263.33,437.2,2791084.8,1681098.72,1109986.08
560600841,Household,Online,M,Phusro,Jharkhand,Urban Agglomeration,3101,502.54,668.27,2072305.27,1558376.54,513928.73
642140424,Personal Care,Offline,H,Adityapur,Jharkhand,Nagar Panchayat.,2476,56.67,81.73,202363.48,140314.92,62048.56
984673964,Baby Food,Offline,C,Alappuzha,Kerala,Municipality,5763,159.42,255.28,1471178.64,918737.46,552441.18
221062791,Beverages,Online,L,Bahadurgarh,Haryana,Municipal Council,6247,31.79,47.45,296420.15,198592.13,97828.02
654480731,Vegetables,Offline,L,Machilipatnam,Andhra Pradesh,Municipality,4247,90.93,154.06,654292.82,386179.71,268113.11
608414113,Beverages,Offline,C,Rae Bareli,Uttar Pradesh,Municipal board,2111,31.79,47.45,100166.95,67108.69,33058.26
276661765,Household,Online,L,Jalpaiguri,West Bengal,Municipal Corporation / Corporation,9219,502.54,668.27,6160781.13,4632916.26,1527864.87
373335015,Baby Food,Online,L,Bharuch,Gujarat,Municipality,6982,159.42,255.28,1782364.96,1113070.44,669294.52
782857692,Clothes,Online,L,Pathankot,Punjab,Urban Agglomeration,3843,35.84,109.28,419963.04,137733.12,282229.92
109966123,Fruits,Online,H,Hoshiarpur,Punjab,Municipal Council,274,6.92,9.33,2556.42,1896.08,660.34
629709136,Cereal,Offline,M,Baramula,Jammu and Kashmir,Municipal Council,3782,117.11,205.7,777957.4,442910.02,335047.38
637448060,Personal Care,Online,L,Adoni,Andhra Pradesh,Municipality,3901,56.67,81.73,318828.73,221069.67,97759.06
298856723,Baby Food,Online,H,Jind,Haryana,Municipal Council,7200,159.42,255.28,1838016,1147824,690192
299921452,Household,Offline,L,Tonk,Rajasthan,Municipal Council,2278,502.54,668.27,1522319.06,1144786.12,377532.94
496941077,Personal Care,Offline,M,Tenali,Andhra Pradesh,Municipality,4763,56.67,81.73,389279.99,269919.21,119360.78
366526925,Snacks,Online,L,Kancheepuram,Tamil Nadu,Municipality,2317,97.44,152.58,353527.86,225768.48,127759.38
355602824,Meat,Offline,M,Vapi,Gujarat,Municipality,9633,364.69,421.89,4064066.37,3513058.77,551007.6
531405103,Vegetables,Online,C,Sirsa,Haryana,Municipal Council,3434,90.93,154.06,529042.04,312253.62,216788.42
131482589,Vegetables,Offline,M,Navsari,Gujarat,Municipality,7475,90.93,154.06,1151598.5,679701.75,471896.75
